product brand,product name,price,store name
President's Choice,Spring Mix,4.99,"Lonsdale, Vancouver"
Unknown,4 Inch Cilantro Pot,3.99,"Lonsdale, Vancouver"
PC Organics,Organic Chives,3.29,"Lonsdale, Vancouver"
Taylor Farms,Guacamole Crunch Chopped Salad Kit,6.99,"Lonsdale, Vancouver"
Unknown,Yellow Asian Pears,2.46,"Lonsdale, Vancouver"
Unknown,Mango Fruit Parfait,5.0,"Lonsdale, Vancouver"
PC Organics,Granny Smith Apples 3Lb Bag,10.99,"Lonsdale, Vancouver"
Bolthouse,"Juice, 100% Pomegranate",9.99,"Lonsdale, Vancouver"
Unknown,Cauliflower And Broccoli,6.0,"Lonsdale, Vancouver"
Unknown,Mixed Melon Cubed Large,10.0,"Lonsdale, Vancouver"
Unknown,Hami Melons,14.75,"Lonsdale, Vancouver"
Unknown,Villagio Marzano Tomatoes,7.99,"Lonsdale, Vancouver"
Unknown,White Flesh Nectarine,1.06,"Lonsdale, Vancouver"
President's Choice,"Ready Veggie, Kale Blend",5.99,"Lonsdale, Vancouver"
Unknown,Organic Raspberries 1/2 pint,6.49,"Lonsdale, Vancouver"
Unknown,Fresh Guacamole,4.95,"Lonsdale, Vancouver"
Unknown,Fuji Apples,1.58,"Lonsdale, Vancouver"
Summer Fresh,Corn & Pepper Quinoa,22.9,"Lonsdale, Vancouver"
Unknown,Yellow Potatoes,1.78,"Lonsdale, Vancouver"
Unknown,Chicken Caesar Salad Family Size,17.0,"Lonsdale, Vancouver"
Unknown,Carrots & Cucumber,6.0,"Lonsdale, Vancouver"
Unknown,Kiwi Fruit,7.99,"Lonsdale, Vancouver"
President's Choice,50-50 Blend - A Blend of Baby Spinach and Field Greens,6.99,"Lonsdale, Vancouver"
Unknown,Organic Spaghetti Squash,13.77,"Lonsdale, Vancouver"
Inspired Leaves,Canadian Reds Lettuce,5.99,"Lonsdale, Vancouver"
Unknown,Chicken Caesar Salad Mini,5.0,"Lonsdale, Vancouver"
Unknown,Caesar Salad Mini,5.0,"Lonsdale, Vancouver"
Paramount,Pistachios No Shells Roasted Light Salt,9.99,"Lonsdale, Vancouver"
Unknown,Carrots,0.57,"Lonsdale, Vancouver"
President's Choice,Live Lettuce Tri Mix - 1 Unit,3.99,"Lonsdale, Vancouver"
PC Organics,Organic Field Greens & Baby Spinach - Salad Mix,6.99,"Lonsdale, Vancouver"
Eat Smart,Sweet Kale Salad Kit,6.49,"Lonsdale, Vancouver"
Unknown,Kabocha Squash,13.51,"Lonsdale, Vancouver"
Unknown,Kale Spinach Pineapple Orange Blend,14.0,"Lonsdale, Vancouver"
PC Organics,Gala Apples 3Lb Bag,10.99,"Lonsdale, Vancouver"
Unknown,Raspberry Banana Parfait,5.0,"Lonsdale, Vancouver"
Unknown,Large Greek Salad,12.0,"Lonsdale, Vancouver"
Unknown,Large Chicken Caesar Salad,12.0,"Lonsdale, Vancouver"
Unknown,Granadilla,2.99,"Lonsdale, Vancouver"
Unknown,Cored Pineapple,7.49,"Lonsdale, Vancouver"
Unknown,"Fresh Apple, Lemon, Ginger, Turmeric Juice",7.0,"Lonsdale, Vancouver"
President's Choice,Mixed Greens,4.99,"Lonsdale, Vancouver"
Earthbound Farms Organic,Chop Honey Citrus Salad,7.49,"Lonsdale, Vancouver"
PC Organics,"Mushroom White, Sliced",3.99,"Lonsdale, Vancouver"
Unknown,Premium Baby Spinach With Chicken,9.0,"Lonsdale, Vancouver"
President's Choice,Romaine Salad,4.99,"Lonsdale, Vancouver"
Unknown,White Peaches,2.31,"Lonsdale, Vancouver"
Bolthouse,Berry Boost,6.99,"Lonsdale, Vancouver"
Unknown,Bard Valley Natural Delights Pitted Medjool Dates,9.99,"Lonsdale, Vancouver"
Farmer's Market,Mini Carrots 1lb,2.99,"Lonsdale, Vancouver"
PC Organics,Blueberries,4.99,"Lonsdale, Vancouver"
Farmer's Market,Gala Apples 3lb Bag,7.99,"Lonsdale, Vancouver"
Unknown,"Chanterelle Mushrooms, Dried",5.99,"Lonsdale, Vancouver"
Unknown,Chickpea Salad,9.0,"Lonsdale, Vancouver"
Dole,Chop Chop Kit Everything Caesar,6.99,"Lonsdale, Vancouver"
Unknown,Sweet Kale,9.0,"Lonsdale, Vancouver"
President's Choice,Variety Pack Tomatoes,8.99,"Lonsdale, Vancouver"
Unknown,Bosc Pears,1.69,"Lonsdale, Vancouver"
Taylor Farms,"Chopped Salad Kit, Buffalo Ranch",6.99,"Lonsdale, Vancouver"
Unknown,Watermelon Cubed Small 300G,6.0,"Lonsdale, Vancouver"
Unknown,Vegetable Platter Large,21.0,"Lonsdale, Vancouver"
President's Choice,Dressing Caesar,0.59,"Lonsdale, Vancouver"
PC Organics,Organic Yellow Potatoes,6.99,"Lonsdale, Vancouver"
Paramount,"Wonderful Pistachios, Roasted & Salted",6.99,"Lonsdale, Vancouver"
Unknown,Chicken Salad,2.29,"Lonsdale, Vancouver"
President's Choice,Red Thai Hot Peppers,5.99,"Lonsdale, Vancouver"
President's Choice,Loads Of Garlic Caesar Salad Kit,6.99,"Lonsdale, Vancouver"
President's Choice,Rosemary,3.29,"Lonsdale, Vancouver"
Unknown,Mini Seedless Watermelon,7.99,"Lonsdale, Vancouver"
No Name,Naturally Imperfect Lemons,6.99,"Lonsdale, Vancouver"
President's Choice,Thyme,3.29,"Lonsdale, Vancouver"
Wholly Guacamole,Classic Bowl,5.99,"Lonsdale, Vancouver"
Unknown,Strawberry Parfait,5.0,"Lonsdale, Vancouver"
Unknown,Green Peppers,5.99,"Lonsdale, Vancouver"
Unknown,Large Steak & Egg Salad,13.0,"Lonsdale, Vancouver"
Unknown,Dried Turkish Apricots,3.99,"Lonsdale, Vancouver"
Unknown,Mixed Cut Peppers,6.0,"Lonsdale, Vancouver"
Dole,Chop Chop Kit Teriyaki Pineapple,6.99,"Lonsdale, Vancouver"
Unknown,Cobb with Cheddar Salad Mini,5.0,"Lonsdale, Vancouver"
Unknown,Apple Cosmic Crisp,1.85,"Lonsdale, Vancouver"
President's Choice,Balsamic Vinaigrette Pouch,0.59,"Lonsdale, Vancouver"
President's Choice,Blood Oranges,7.99,"Lonsdale, Vancouver"
President's Choice,Salted California Pistachios,6.49,"Lonsdale, Vancouver"
PC Organics,Organic Whole Cremini Mushroooms,6.49,"Lonsdale, Vancouver"
PC Organics,Organics Whole Button Cremini Mushrooms,4.29,"Lonsdale, Vancouver"
Eat Smart,Honey Dijon Kale,6.49,"Lonsdale, Vancouver"
PC Organics,Rose Spring Salad Mix,4.99,"Lonsdale, Vancouver"
PC Organics,Organic Sweet Potatoes 3lb Bag,9.99,"Lonsdale, Vancouver"
Unknown,Snack Platter,8.0,"Lonsdale, Vancouver"
Unknown,"Caesar Salad, No Bacon",5.0,"Lonsdale, Vancouver"
Unknown,"Corn Pepper Zucchini Red Pepper Kebab, 2 pack",6.0,"Lonsdale, Vancouver"
Unknown,Dragon Fruit Parfait,5.0,"Lonsdale, Vancouver"
President's Choice,Axiany Cherry Tomatoes,3.99,"Lonsdale, Vancouver"
Unknown,"Chicken Ceasar Salad, Mini No Bacon",5.0,"Lonsdale, Vancouver"
Unknown,Parsnips 2lb Bag,6.49,"Lonsdale, Vancouver"
Unknown,Seedless Mandarins,0.82,"Lonsdale, Vancouver"
Unknown,Premium Caesar Salad,9.0,"Lonsdale, Vancouver"
Unknown,Bok Choy,3.51,"Lonsdale, Vancouver"
President's Choice,Sage,3.29,"Lonsdale, Vancouver"
PC Organics,Organics Sliced Cremini Mushrooms,3.99,"Lonsdale, Vancouver"
President's Choice,Caesar Salad Kit,7.99,"Lonsdale, Vancouver"
President's Choice,White Potatoes,8.49,"Lonsdale, Vancouver"
President's Choice,"Salted, Dry Roasted California Pistachios",26.99,"Lonsdale, Vancouver"
Farmer's Market,Greenhouse Peppers,4.99,"Lonsdale, Vancouver"
Unknown,Veggie Tripack,14.0,"Lonsdale, Vancouver"
Unknown,"Mexican Style Beef Taco Salad, Family Size",19.0,"Lonsdale, Vancouver"
PC Organics,Organic White Mushrooms,3.49,"Lonsdale, Vancouver"
President's Choice,Greek Vinaigrette Pouch,0.59,"Lonsdale, Vancouver"
PC Organics,Organic Roma Tomatoes,5.99,"Lonsdale, Vancouver"
Earthbound Farms Organic,Chop Kale Caesar,7.49,"Lonsdale, Vancouver"
Bolthouse,Green Goodness,9.99,"Lonsdale, Vancouver"
Bolthouse,100% Carrot,9.99,"Lonsdale, Vancouver"
Marzetti,"Veggie Dip, Ranch Snack Pack",6.99,"Lonsdale, Vancouver"
Unknown,Organic Medjool Dates,11.99,"Lonsdale, Vancouver"
President's Choice,Red Potatoes,6.99,"Lonsdale, Vancouver"
Farmer's Market,Sweet Potatoes,9.99,"Lonsdale, Vancouver"
Unknown,Solo Papaya,7.99,"Lonsdale, Vancouver"
Unknown,Large Shrimp & Bacon Caesar Salad,13.0,"Lonsdale, Vancouver"
President's Choice,Garden Salad,4.49,"Lonsdale, Vancouver"
Unknown,Mixed Fruit Parfait,5.0,"Lonsdale, Vancouver"
Farmer's Market,Red Delicious Apples 3lb Bag,7.99,"Lonsdale, Vancouver"
PC Organics,Organics Whole White Mushrooms,8.99,"Lonsdale, Vancouver"
President's Choice,Chopped Mexican Style Street Corn Salad Kit,6.99,"Lonsdale, Vancouver"
Renees,French Onion Refrigerated Dip,5.99,"Lonsdale, Vancouver"
The Little Potato Company,"Fresh Creamer Potatoes Roasted Garlic, Rosemary & Thyme",4.99,"Lonsdale, Vancouver"
Unknown,Honeydew Melon,6.99,"Lonsdale, Vancouver"
Renees,Dill Refrigerated Dip,5.99,"Lonsdale, Vancouver"
Taylor Farms,"Chopped Salad Kit, Thai Style Chili Mango",6.99,"Lonsdale, Vancouver"
Unknown,Popeye Baby Spinach Mix,4.49,"Lonsdale, Vancouver"
Unknown,Radicchio Lettuce,3.41,"Lonsdale, Vancouver"
Unknown,White Mushrooms,0.36,"Lonsdale, Vancouver"
Love Beets,Organic Cooked Beets,6.99,"Lonsdale, Vancouver"
Unknown,Okra,1.21,"Lonsdale, Vancouver"
Remedy,Organic Mango Passionfruit Kombucha,5.99,"Lonsdale, Vancouver"
Unknown,"Greenhouse Peppers, Yellow",2.75,"Lonsdale, Vancouver"
Unknown,Celery Hearts,5.99,"Lonsdale, Vancouver"
Unknown,Leeks,6.99,"Lonsdale, Vancouver"
PC Organics,Organic Thyme,3.29,"Lonsdale, Vancouver"
PC Organics,Organic Green Onions,1.99,"Lonsdale, Vancouver"
Duda Farms,Duda Celery Sticks,5.99,"Lonsdale, Vancouver"
Unknown,Kale,3.99,"Lonsdale, Vancouver"
PC Organics,Organic Cauliflower,7.49,"Lonsdale, Vancouver"
President's Choice,Broccoli Florets,9.99,"Lonsdale, Vancouver"
Gourmet Garden,Paste Cilantro,5.99,"Lonsdale, Vancouver"
Unknown,Broccolini,3.99,"Lonsdale, Vancouver"
Unknown,Sour Cabbage Head,11.74,"Lonsdale, Vancouver"
Unknown,Ataulfo Mango,2.99,"Lonsdale, Vancouver"
Marzetti,"Veggie Dip, Spinach",5.99,"Lonsdale, Vancouver"
Fresh Attitude,Spring Mix Salad with Toppings Single Sized,6.99,"Lonsdale, Vancouver"
Unknown,Sweet Onion,3.03,"Lonsdale, Vancouver"
Farmer's Market,Mini Carrots,5.99,"Lonsdale, Vancouver"
Manns,Sugar Snap Peas  ,10.99,"Lonsdale, Vancouver"
Unknown,Fresh Coconut Young,5.99,"Lonsdale, Vancouver"
President's Choice,Basil,5.49,"Lonsdale, Vancouver"
Unknown,Rapini,4.99,"Lonsdale, Vancouver"
Unknown,Green Leaf Lettuce,3.99,"Lonsdale, Vancouver"
PC Organics,Organics Whole Shitake Mushrooms,4.99,"Lonsdale, Vancouver"
Unknown,Brussels Sprouts,0.33,"Lonsdale, Vancouver"
PC Organics,Organic Mint,3.29,"Lonsdale, Vancouver"
Unknown,Soy Sprouts,1.99,"Lonsdale, Vancouver"
Unknown,Savoy Cabbage,5.35,"Lonsdale, Vancouver"
Unknown,"Carrots, Bunched",2.99,"Lonsdale, Vancouver"
Unknown,Shanghai Bok Choy Jr.,6.6,"Lonsdale, Vancouver"
Unknown,Papaya,7.14,"Lonsdale, Vancouver"
Unknown,Green Beans,0.5,"Lonsdale, Vancouver"
Unknown,Chinese Napa Cabbage,6.15,"Lonsdale, Vancouver"
Unknown,Potato Baking Tray,4.99,"Lonsdale, Vancouver"
Unknown,White Onion,2.44,"Lonsdale, Vancouver"
Unknown,Acorn Squash,5.54,"Lonsdale, Vancouver"
Unknown,Fresh Mango Pineapple Smoothie,5.99,"Lonsdale, Vancouver"
Unknown,"Spinach, Bunched",2.99,"Lonsdale, Vancouver"
President's Choice,Vegetable Medley,5.49,"Lonsdale, Vancouver"
Bolthouse,C-Boost,6.99,"Lonsdale, Vancouver"
Well,Cold Pressed Juice Greens,5.99,"Lonsdale, Vancouver"
Well,Cold Pressed Juice Played,5.99,"Lonsdale, Vancouver"
Unknown,Organic Iceberg Lettuce,4.99,"Lonsdale, Vancouver"
