product brand,product name,vancouver_price,brand id
Remedy,Org Kom Rasp Lemn 700Ml,5.99,23
Remedy,Kombucha Ginger Lemon,5.99,23
The Little Potato Company,Microwave Ready Lemon and Garden Herb Potatoes,4.99,24
POM Wonderful,100% Pomegranate Juice,15.99,13
Bolthouse,Vanilla Chai Tea,6.99,12
Well,Cold Pressed Juice Be Well,5.99,8
PC Organics,Romaine Lettuce Hearts,7.99,3
No Name,Naturally Imperfect Avocados,9.99,9
Unknown,Organic Curly Parsley,3.99,1
Farmer's Market,Peaches,8.99,2
Unknown,Organic Blackberries,6.49,1
President's Choice,Chipotle Chop Salad Kit,6.99,4
Marzetti,"Veggie Dip, Light Ranch",5.99,19
President's Choice,Crumbled Cauliflower,4.99,4
Unknown,"Pineapple Vegetable Kebab, 4 pack",10.0,1
Unknown,4 Inch Oregano Pot,3.99,1
Unknown,Premium Baby Spinach With Fruit & Nuts,9.0,1
President's Choice,Baby Arugula Spinach Blend,4.99,4
POM Wonderful,Pomegranate Juice,9.99,13
PC Organics,Organic Ginger,3.79,3
Unknown,Rutabaga,6.28,1
Unknown,Baby Spinach,9.0,1
Paramount,"Pistachios, Salt & Pepper",6.99,7
Unknown,Fresh Fruit Snack Cup,6.0,1
Unknown,Mini Greek Salad,5.0,1
Unknown,Blackberries 1 pint,8.99,1
Unknown,Butternut Squash,12.38,1
Unknown,Mini Mexican Beef Taco Salad,5.0,1
Unknown,Brussel Sprouts with Red Onions,7.0,1
President's Choice,Spring Mix,4.99,4
Unknown,4 Inch Cilantro Pot,3.99,1
PC Organics,Organic Chives,3.29,3
Taylor Farms,Guacamole Crunch Chopped Salad Kit,6.99,15
Unknown,Yellow Asian Pears,2.46,1
Unknown,Mango Fruit Parfait,5.0,1
PC Organics,Granny Smith Apples 3Lb Bag,10.99,3
Bolthouse,"Juice, 100% Pomegranate",9.99,12
Unknown,Cauliflower And Broccoli,6.0,1
Unknown,Mixed Melon Cubed Large,10.0,1
Unknown,Hami Melons,14.75,1
Unknown,Villagio Marzano Tomatoes,7.99,1
Unknown,White Flesh Nectarine,1.06,1
President's Choice,"Ready Veggie, Kale Blend",5.99,4
Unknown,Organic Raspberries 1/2 pint,6.49,1
Unknown,Fresh Guacamole,4.95,1
Unknown,Fuji Apples,1.58,1
Summer Fresh,Corn & Pepper Quinoa,22.9,25
Unknown,Yellow Potatoes,1.78,1
Unknown,Chicken Caesar Salad Family Size,17.0,1
Unknown,Carrots & Cucumber,6.0,1
Unknown,Kiwi Fruit,7.99,1
President's Choice,50-50 Blend - A Blend of Baby Spinach and Field Greens,6.99,4
Unknown,Organic Spaghetti Squash,13.77,1
Inspired Leaves,Canadian Reds Lettuce,5.99,14
Unknown,Chicken Caesar Salad Mini,5.0,1
Unknown,Caesar Salad Mini,5.0,1
Paramount,Pistachios No Shells Roasted Light Salt,9.99,7
Unknown,Carrots,0.57,1
President's Choice,Live Lettuce Tri Mix - 1 Unit,3.99,4
PC Organics,Organic Field Greens & Baby Spinach - Salad Mix,6.99,3
Eat Smart,Sweet Kale Salad Kit,6.49,26
Unknown,Kabocha Squash,13.51,1
Unknown,Kale Spinach Pineapple Orange Blend,14.0,1
PC Organics,Gala Apples 3Lb Bag,10.99,3
Unknown,Raspberry Banana Parfait,5.0,1
Unknown,Large Greek Salad,12.0,1
Unknown,Large Chicken Caesar Salad,12.0,1
Unknown,Granadilla,2.99,1
Unknown,Cored Pineapple,7.49,1
Unknown,"Fresh Apple, Lemon, Ginger, Turmeric Juice",7.0,1
President's Choice,Mixed Greens,4.99,4
Earthbound Farms Organic,Chop Honey Citrus Salad,7.49,10
PC Organics,"Mushroom White, Sliced",3.99,3
Unknown,Premium Baby Spinach With Chicken,9.0,1
President's Choice,Romaine Salad,4.99,4
Unknown,White Peaches,2.31,1
Bolthouse,Berry Boost,6.99,12
Unknown,Bard Valley Natural Delights Pitted Medjool Dates,9.99,1
Farmer's Market,Mini Carrots 1lb,2.99,2
PC Organics,Blueberries,4.99,3
Farmer's Market,Gala Apples 3lb Bag,7.99,2
Unknown,"Chanterelle Mushrooms, Dried",5.99,1
Unknown,Chickpea Salad,9.0,1
Dole,Chop Chop Kit Everything Caesar,6.99,18
Unknown,Sweet Kale,9.0,1
President's Choice,Variety Pack Tomatoes,8.99,4
Unknown,Bosc Pears,1.69,1
Taylor Farms,"Chopped Salad Kit, Buffalo Ranch",6.99,15
Unknown,Watermelon Cubed Small 300G,6.0,1
Unknown,Vegetable Platter Large,21.0,1
President's Choice,Dressing Caesar,0.59,4
PC Organics,Organic Yellow Potatoes,6.99,3
Paramount,"Wonderful Pistachios, Roasted & Salted",6.99,7
Unknown,Chicken Salad,2.29,1
President's Choice,Red Thai Hot Peppers,5.99,4
President's Choice,Loads Of Garlic Caesar Salad Kit,6.99,4
President's Choice,Rosemary,3.29,4
Unknown,Mini Seedless Watermelon,7.99,1
No Name,Naturally Imperfect Lemons,6.99,9
President's Choice,Thyme,3.29,4
Wholly Guacamole,Classic Bowl,5.99,27
Unknown,Strawberry Parfait,5.0,1
Unknown,Green Peppers,5.99,1
Unknown,Large Steak & Egg Salad,13.0,1
Unknown,Dried Turkish Apricots,3.99,1
Unknown,Mixed Cut Peppers,6.0,1
Dole,Chop Chop Kit Teriyaki Pineapple,6.99,18
Unknown,Cobb with Cheddar Salad Mini,5.0,1
Unknown,Apple Cosmic Crisp,1.85,1
President's Choice,Balsamic Vinaigrette Pouch,0.59,4
President's Choice,Blood Oranges,7.99,4
President's Choice,Salted California Pistachios,6.49,4
PC Organics,Organic Whole Cremini Mushroooms,6.49,3
PC Organics,Organics Whole Button Cremini Mushrooms,4.29,3
Eat Smart,Honey Dijon Kale,6.49,26
PC Organics,Rose Spring Salad Mix,4.99,3
PC Organics,Organic Sweet Potatoes 3lb Bag,9.99,3
Unknown,Snack Platter,8.0,1
Unknown,"Caesar Salad, No Bacon",5.0,1
Unknown,"Corn Pepper Zucchini Red Pepper Kebab, 2 pack",6.0,1
Unknown,Dragon Fruit Parfait,5.0,1
President's Choice,Axiany Cherry Tomatoes,3.99,4
Unknown,"Chicken Ceasar Salad, Mini No Bacon",5.0,1
Unknown,Parsnips 2lb Bag,6.49,1
Unknown,Seedless Mandarins,0.82,1
Unknown,Premium Caesar Salad,9.0,1
Unknown,Bok Choy,3.51,1
President's Choice,Sage,3.29,4
PC Organics,Organics Sliced Cremini Mushrooms,3.99,3
President's Choice,Caesar Salad Kit,7.99,4
President's Choice,White Potatoes,8.49,4
President's Choice,"Salted, Dry Roasted California Pistachios",26.99,4
Farmer's Market,Greenhouse Peppers,4.99,2
Unknown,Veggie Tripack,14.0,1
Unknown,"Mexican Style Beef Taco Salad, Family Size",19.0,1
PC Organics,Organic White Mushrooms,3.49,3
President's Choice,Greek Vinaigrette Pouch,0.59,4
PC Organics,Organic Roma Tomatoes,5.99,3
Earthbound Farms Organic,Chop Kale Caesar,7.49,10
Bolthouse,Green Goodness,9.99,12
Bolthouse,100% Carrot,9.99,12
Marzetti,"Veggie Dip, Ranch Snack Pack",6.99,19
Unknown,Organic Medjool Dates,11.99,1
President's Choice,Red Potatoes,6.99,4
Farmer's Market,Sweet Potatoes,9.99,2
Unknown,Solo Papaya,7.99,1
Unknown,Large Shrimp & Bacon Caesar Salad,13.0,1
President's Choice,Garden Salad,4.49,4
Unknown,Mixed Fruit Parfait,5.0,1
Farmer's Market,Red Delicious Apples 3lb Bag,7.99,2
PC Organics,Organics Whole White Mushrooms,8.99,3
President's Choice,Chopped Mexican Style Street Corn Salad Kit,6.99,4
Renees,French Onion Refrigerated Dip,5.99,22
The Little Potato Company,"Fresh Creamer Potatoes Roasted Garlic, Rosemary & Thyme",4.99,24
Unknown,Honeydew Melon,6.99,1
Renees,Dill Refrigerated Dip,5.99,22
Taylor Farms,"Chopped Salad Kit, Thai Style Chili Mango",6.99,15
Unknown,Popeye Baby Spinach Mix,4.49,1
Unknown,Radicchio Lettuce,3.41,1
Unknown,White Mushrooms,0.36,1
Love Beets,Organic Cooked Beets,6.99,16
Unknown,Okra,1.21,1
Remedy,Organic Mango Passionfruit Kombucha,5.99,23
Unknown,"Greenhouse Peppers, Yellow",2.75,1
Unknown,Celery Hearts,5.99,1
Unknown,Leeks,6.99,1
PC Organics,Organic Thyme,3.29,3
PC Organics,Organic Green Onions,1.99,3
Duda Farms,Duda Celery Sticks,5.99,28
Unknown,Kale,3.99,1
PC Organics,Organic Cauliflower,7.49,3
President's Choice,Broccoli Florets,9.99,4
Gourmet Garden,Paste Cilantro,5.99,29
Unknown,Broccolini,3.99,1
Unknown,Sour Cabbage Head,11.74,1
Unknown,Ataulfo Mango,2.99,1
Marzetti,"Veggie Dip, Spinach",5.99,19
Fresh Attitude,Spring Mix Salad with Toppings Single Sized,6.99,20
Unknown,Sweet Onion,3.03,1
Farmer's Market,Mini Carrots,5.99,2
Manns,Sugar Snap Peas  ,10.99,6
Unknown,Fresh Coconut Young,5.99,1
President's Choice,Basil,5.49,4
Unknown,Rapini,4.99,1
Unknown,Green Leaf Lettuce,3.99,1
PC Organics,Organics Whole Shitake Mushrooms,4.99,3
Unknown,Brussels Sprouts,0.33,1
PC Organics,Organic Mint,3.29,3
Unknown,Soy Sprouts,1.99,1
Unknown,Savoy Cabbage,5.35,1
Unknown,"Carrots, Bunched",2.99,1
Unknown,Shanghai Bok Choy Jr.,6.6,1
Unknown,Papaya,7.14,1
Unknown,Green Beans,0.5,1
Unknown,Chinese Napa Cabbage,6.15,1
Unknown,Potato Baking Tray,4.99,1
Unknown,White Onion,2.44,1
Unknown,Acorn Squash,5.54,1
Unknown,Fresh Mango Pineapple Smoothie,5.99,1
Unknown,"Spinach, Bunched",2.99,1
President's Choice,Vegetable Medley,5.49,4
Bolthouse,C-Boost,6.99,12
Well,Cold Pressed Juice Greens,5.99,8
Well,Cold Pressed Juice Played,5.99,8
Unknown,Organic Iceberg Lettuce,4.99,1
Unknown,Red Leaf Lettuce,3.99,1
Unknown,Organic Carrots Bunched,4.99,1
Unknown,"Fresh Dill, Baby",3.99,1
Unknown,French Beans,5.99,1
Unknown,Radish,3.99,1
Unknown,Organic Rainbow Swiss Chard,4.99,1
Unknown,Radishes,2.69,1
Unknown,French Bean,8.99,1
Unknown,Fennel,5.99,1
President's Choice,Kale Slaw,4.49,4
Gourmet Garden,Paste Italian Herbs,5.99,29
PC Organics,Organic Broccoli,6.99,3
President's Choice,Cauliflower Slaw,4.49,4
Bolthouse,Amazing Mango,9.99,12
No Name,Naturally Imperfect Limes,5.99,9
Bolthouse,Strawberry Banana,6.99,12
Well,Cold Pressed Juice C Well,5.99,8
President's Choice,Caesar Salad Chop Kit,6.99,4
Unknown,Yellow Peaches,3.08,1
PC Organics,Organic Tomato On The Vine Red (1 Bunch),7.92,3
Marzetti,"Veggie Dip, Ranch",5.99,19
Farmer's Market,Carrots 5lb Bag,6.99,2
Unknown,Lemongrass,1.99,1
Unknown,Popeye Select Spinach,11.99,1
Farmer's Market,Red Grapefruit,7.99,2
PC Organics,Organics Baby Cut Carrots,6.79,3
Unknown,"Plantains, Single",1.16,1
Remedy,Kombucha Wild Berry,5.99,23
Well,Ink. Lemonade Charcoal,5.99,8
Unknown,Fresh Banana Strawberry Smoothie,5.99,1
President's Choice,Jalapeno Hot Peppers,5.99,4
Bolthouse,Blue Goodness,6.99,12
Bolthouse,Red Goodness,6.99,12
The Little Potato Company,Microwave Ready Savoury Herb Potatoes,4.99,24
Unknown,Rhubarb,5.99,1
Unknown,Green Swiss Chard,4.99,1
Unknown,Organic Leeks,6.99,1
PC Organics,Organic Asparagus,6.99,3
Unknown,Organic Green Kale,4.99,1
Unknown,Romaine Lettuce,3.99,1
Unknown,Purple Eggplants,3.76,1
Unknown,"Cabbage, Green",6.27,1
Unknown,"Organic English Cucumber, Pack of 2",6.99,1
Unknown,Red Cabbage,5.84,1
PC Organics,Organic Rosemary,3.29,3
Unknown,Organic Rainbow Carrots,5.99,1
Unknown,Pitted Honey Dates,7.99,1
President's Choice,Mandarin Oranges,6.99,4
President's Choice,Tarragon,3.29,4
PC Organics,Baby Arugula,4.99,3
Unknown,Cremini Mushrooms,0.36,1
Marzetti,"Veggie Dip, Southwest Ranch",5.99,19
President's Choice,Salad Kit Chopped Sesame Wonton,6.99,4
President's Choice,Bacon Caesar Chop Salad Kit,6.99,4
President's Choice,Barbecue Ranch Chopped Salad Kit,6.99,4
Unknown,Kiwis,1.09,1
Marzetti,"Fruit Dip, Cream Cheese",5.99,19
Farmer's Market,Lemons 3lb Bag,7.99,2
Unknown,LoBok (Daikon Radish),3.28,1
